# language=id	duration=101.760
SEG	0.000	4.500	Suatu sore, Jesus meminta murid-muridnya naik ke perahu.
WORD	0.000	0.980	Suatu
WORD	0.980	1.400	sore,
WORD	1.840	2.120	Jesus
WORD	2.120	2.720	meminta
WORD	2.720	3.100	murid
WORD	3.100	3.540	-muridnya
WORD	3.540	3.880	naik
WORD	3.880	4.120	ke
WORD	4.120	4.500	perahu.
SEG	5.300	8.380	Mereka berlayar lebih dulu ke seberang Danau.
WORD	5.300	6.180	Mereka
WORD	6.180	6.840	berlayar
WORD	6.840	7.100	lebih
WORD	7.100	7.420	dulu
WORD	7.420	7.600	ke
WORD	7.600	7.980	seberang
WORD	7.980	8.380	Danau.
SEG	8.960	11.680	Jesus tinggal sendirian untuk berdoa.
WORD	8.960	9.540	Jesus
WORD	9.540	10.040	tinggal
WORD	10.040	10.660	sendirian
WORD	10.660	11.060	untuk
WORD	11.060	11.680	berdoa.
SEG	12.360	16.080	Hari mulai gelap dan angin bertiup semakin kencang.
WORD	12.360	12.640	Hari
WORD	12.640	12.960	mulai
WORD	12.960	13.440	gelap
WORD	13.440	14.260	dan
WORD	14.260	14.580	angin
WORD	14.580	15.040	bertiup
WORD	15.040	15.440	semakin
WORD	15.440	16.080	kencang.
SEG	16.960	21.100	Di tengah Danau, perahu murid-murid mulai terombang ambing.
WORD	16.960	17.180	Di
WORD	17.180	17.500	tengah
WORD	17.500	18.140	Danau,
WORD	18.680	18.920	perahu
WORD	18.920	19.260	murid
WORD	19.260	19.560	-murid
WORD	19.560	20.040	mulai
WORD	20.040	20.580	terombang
WORD	20.580	21.100	ambing.
SEG	22.160	24.580	Ombak besar menghantam perahu mereka.
WORD	22.160	23.040	Ombak
WORD	23.040	23.400	besar
WORD	23.400	24.000	menghantam
WORD	24.000	24.260	perahu
WORD	24.260	24.580	mereka.
SEG	25.440	26.800	Murid-murid merasa takut.
WORD	25.440	25.800	Murid
WORD	25.800	26.080	-murid
WORD	26.080	26.360	merasa
WORD	26.360	26.800	takut.
SEG	26.800	32.180	Mereka berusaha mengendalikan perahu di tengah angin yang kuat
WORD	26.800	28.240	Mereka
WORD	28.240	28.640	berusaha
WORD	28.640	29.220	mengendalikan
WORD	29.220	29.840	perahu
WORD	29.840	30.940	di
WORD	30.940	31.320	tengah
WORD	31.320	31.600	angin
WORD	31.600	31.740	yang
WORD	31.740	32.180	kuat
SEG	32.180	36.760	Tiba-tiba mereka melihat seseorang berjalan di atas air
WORD	32.180	33.400	Tiba
WORD	33.400	33.820	-tiba
WORD	33.820	34.480	mereka
